ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part,Price,Comment
1,TS-1187A-B-A-B,BUTTON,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.4,1,TS-1187A-B-A-B,XKB Enterprise,LCSC,C318884,0.016,
2,100nF,"C1,C2,C5",C0603,3,CC0603KRX7R9BB104,YAGEO,Digikey,311-1344-1-ND,0.02,
3,2.2uF,"C3,C4",C0603,2,CL10A225KO8NNNC,SAMSUNG,Digikey,1276-1040-1-ND,0.03,
4,10uF,"C6,C8,C9",C0603,3,CL10A106KP8NNNC,SAMSUNG,Digikey,1276-1192-1-ND,0.08,
5,4.7uF,C7,C0603,1,CL10A475KO8NNNC,SAMSUNG,Digikey,1276-1784-1-ND,0.04,
6,1N4148WS T4,D1,SOD-323_L1.8-W1.3-LS2.5-RD,1,1N4148WS T4,CJ,LCSC,C2128,0.009,
7,ISP HEADER,H1,HDR-TH_6P-P2.54-V-R2-C3-S2.54,1,DS1023-2*3SF11,CONNFLY,,(Used for footprint only),,Do Not Stuff
8,BAT-HLD-001,J1,BAT-HLD-001,1,BAT-HLD-001,TE Connectivity Line,Digikey,BAT-HLD-001-ND,0.38,
9,CPT-1203-78-SMT-TR,LS1,XDCR_CPT-1203-78-SMT-TR,1,CUI Devices,102-CPT-1203-78-SMT-CT-ND,Digikey,CPT-1203-78-SMT-TR,1.04,
10,VG-2864KSWEG01 MODIFIED,OLED2,OLED_0.96-30P-P0.70-12864,1,VG-2864KSWEG01,WiseChip,LCSC,C194313,3.581,
11,4.7K,R1,R0603,1,RC0603J472CS,Samsung,Digikey,1276-3810-1-ND,0.015,
12,10K,"R2,R3,R11",R0603,3,RC1608F103CS,Samsung,Digikey,1276-3485-1-ND,0.03,
13,390K,R4,R0603,1,ERJ-1GNF3903C,Panasonic,Digikey,P122984CT-ND,0.02,
14,86.6K,"R5,R8",R0603,2,ERJ-3EKF8662V,Panasonic,Digikey,P86.6KHCT-ND,0.02,
15,33K,"R6,R9",R0603,2,ERJ-3EKF3302V,Panasonic,Digikey,P33.0KHCT-ND,0.02,
16,22K,"R7,R10",R0603,2,ERJ-3EKF2202V,Panasonic,Digikey,P22.0KHCT-ND,0.02,
17,JOYSTICK,SW1,SW-SMD_SKRHADE010,1,SKRHADE011,ALPS Electric,LCSC,C602036,0.394,
18,PCM12SMTR,SW2-PWR,SW-SMD_PCM12SMTR,1,PCM12SMTR,C&K,Digikey,401-2016-1-ND,0.96,
19,ATTINY85-20MU,U1,QFN-20_L4.0-W4.0-P0.50-BL-EP,1,ATTINY85-20MU,Microchip Tech,Digikey,ATTINY85-20MU-ND,1.14,
20,XC6206P332MR,U2,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,1,XC6206P332MR-G,TOREX,Digikey,893-XC6206P332MR-GCT-ND,0.51,
,,,,,Double Sided VHB,3M,,,,
,,,,,Joystick Cap / 3d Printed,You,,,,
,,,,,,,,,,
,,,,,,,,,8.325,
